b_da,q_da,b_rt,q_rt,P_da,Q_da,Q_c,z,Profit,prob
-2.0,8800.0,-78.8625,7811.685343244455,-19.0,0.0,7811.685343244462,7811.685343244455,609311.4567730691,0.008100000000000001
-2.0,8800.0,-78.8625,7811.685343244455,-19.0,0.0,4687.011205946662,6886.68320594667,537161.2900638412,0.00018
-2.0,8800.0,-78.8625,7811.685343244455,-19.0,0.0,6249.348274595601,7811.685343244455,609311.4567730691,0.00027
-2.0,8800.0,-78.8625,7811.685343244455,-19.0,0.0,9374.022411893355,7811.685343244455,609311.4567730691,0.00027
-2.0,8800.0,-78.8625,7811.685343244455,-19.0,0.0,10936.359480542247,7811.685343244455,609311.4567730691,0.00018
-2.0,8800.0,-78.7399999999994,6306.942283688739,-25.98,0.0,6306.942283688695,6306.942283688739,491941.4981277191,0.01890000000000001
-2.0,8800.0,-78.7399999999994,6306.942283688739,-25.98,0.0,3784.1653702132435,5983.837370213251,466739.31487663114,0.00042000000000000023
-2.0,8800.0,-78.7399999999994,6306.942283688739,-25.98,0.0,5045.553826950984,6306.942283688725,491941.49812771805,0.0006300000000000004
-2.0,8800.0,-78.7399999999994,6306.942283688739,-25.98,0.0,7568.330740426434,6306.942283688739,491941.4981277198,0.0006300000000000004
-2.0,8800.0,-78.7399999999994,6306.942283688739,-25.98,0.0,8829.719197164173,6306.942283688739,491941.49812771997,0.00042000000000000023
-2.0,8800.0,-77.94000000000041,8430.672770021669,-25.98,0.0,8430.672770021716,8430.672770021669,657592.4760616951,0.009000000000000003
-2.0,8800.0,-77.94000000000041,8430.672770021669,-25.98,0.0,5058.403662013055,8430.672770021669,566200.2574635007,0.00020000000000000004
-2.0,8800.0,-77.94000000000041,8430.672770021669,-25.98,0.0,6744.538216017375,8430.672770021669,657592.4760616913,0.00030000000000000003
-2.0,8800.0,-77.94000000000041,8430.672770021669,-25.98,0.0,10116.807324026058,8430.672770021669,657592.4760616913,0.00030000000000000003
-2.0,8800.0,-77.94000000000041,8430.672770021669,-25.98,0.0,11802.941878030402,8430.672770021669,657592.4760616913,0.00020000000000000004
-2.0,8800.0,-78.73999999999997,6867.114038435781,-19.0,0.0,6867.114038435742,6867.114038435781,535634.894997988,0.0036000000000000003
-2.0,8800.0,-78.73999999999997,6867.114038435781,-19.0,0.0,4120.268423061477,6319.940423061492,492955.35299879423,8e-05
-2.0,8800.0,-78.73999999999997,6867.114038435781,-19.0,0.0,5493.6912307485545,6867.114038435781,535634.894997988,0.00012
-2.0,8800.0,-78.73999999999997,6867.114038435781,-19.0,0.0,8240.53684612289,6867.114038435781,535634.894997988,0.00012
-2.0,8800.0,-78.73999999999997,6867.114038435781,-19.0,0.0,9613.95965381004,6867.114038435781,535634.8949979884,8e-05
-2.0,8800.0,-79.05999999999962,5713.699768087692,-19.0,0.0,5713.69976808771,5713.699768087692,445668.5819108422,0.014400000000000007
-2.0,8800.0,-79.05999999999962,5713.699768087692,-19.0,0.0,3428.2198608526437,5627.891860852663,438975.56514650985,0.00032000000000000013
-2.0,8800.0,-79.05999999999962,5713.699768087692,-19.0,0.0,4570.95981447021,5713.699768087692,445668.5819108423,0.0004800000000000002
-2.0,8800.0,-79.05999999999962,5713.699768087692,-19.0,0.0,6856.439721705252,5713.699768087692,445668.5819108422,0.0004800000000000002
-2.0,8800.0,-79.05999999999962,5713.699768087692,-19.0,0.0,7999.1796753227945,5713.699768087692,445668.58191084326,0.00032000000000000013
-2.0,8800.0,-79.05999999999429,8158.99625646428,-25.98,0.0,8158.996256464277,8158.99625646428,636401.7080042148,0.02610000000000002
