,시간,07-11 (목)
0,최대,155.55
1,최소,94.93
2,가중평균,138.44
3,01시 1구간,100.47
4,01시 2구간,100.47
5,01시 3구간,100.47
6,01시 4구간,100.47
7,02시 1구간,100.17
8,02시 2구간,100.17
9,02시 3구간,100.17
10,02시 4구간,100.17
11,03시 1구간,94.93
12,03시 2구간,94.93
13,03시 3구간,94.93
14,03시 4구간,94.93
15,04시 1구간,95.07
16,04시 2구간,95.07
17,04시 3구간,95.07
18,04시 4구간,95.07
19,05시 1구간,95.07
20,05시 2구간,95.07
21,05시 3구간,95.07
22,05시 4구간,95.07
23,06시 1구간,99.9
24,06시 2구간,99.9
25,06시 3구간,99.9
26,06시 4구간,99.9
27,07시 1구간,105.04
28,07시 2구간,105.04
29,07시 3구간,105.04
30,07시 4구간,105.04
31,08시 1구간,153.19
32,08시 2구간,153.19
33,08시 3구간,153.18
34,08시 4구간,153.25
35,09시 1구간,138.23
36,09시 2구간,138.23
37,09시 3구간,138.23
38,09시 4구간,153.21
39,10시 1구간,153.21
40,10시 2구간,153.21
41,10시 3구간,153.21
42,10시 4구간,153.19
43,11시 1구간,153.32
44,11시 2구간,153.32
45,11시 3구간,153.32
46,11시 4구간,152.9
47,12시 1구간,152.9
48,12시 2구간,152.9
49,12시 3구간,152.9
50,12시 4구간,152.9
51,13시 1구간,152.4
52,13시 2구간,152.4
53,13시 3구간,152.4
54,13시 4구간,152.16
55,14시 1구간,152.49
56,14시 2구간,152.49
57,14시 3구간,152.49
58,14시 4구간,152.49
59,15시 1구간,152.49
60,15시 2구간,152.49
61,15시 3구간,152.49
62,15시 4구간,152.54
63,16시 1구간,155.53
64,16시 2구간,155.53
65,16시 3구간,155.53
66,16시 4구간,155.55
67,17시 1구간,152.8
68,17시 2구간,152.8
69,17시 3구간,152.8
70,17시 4구간,152.77
71,18시 1구간,152.77
72,18시 2구간,152.77
73,18시 3구간,152.77
74,18시 4구간,152.77
75,19시 1구간,152.93
76,19시 2구간,152.93
77,19시 3구간,152.93
78,19시 4구간,152.92
79,20시 1구간,152.97
80,20시 2구간,152.61
81,20시 3구간,152.61
82,20시 4구간,152.61
83,21시 1구간,152.96
84,21시 2구간,152.96
85,21시 3구간,152.96
86,21시 4구간,152.95
87,22시 1구간,153.07
88,22시 2구간,153.06
89,22시 3구간,153.04
90,22시 4구간,153.03
91,23시 1구간,152.89
92,23시 2구간,153.0
93,23시 3구간,132.62
94,23시 4구간,132.62
95,24시 1구간,132.55
96,24시 2구간,132.55
97,24시 3구간,132.55
98,24시 4구간,132.55
