,시간,08-07 (수)
0,최대,203.24
1,최소,141.26
2,가중평균,163.06
3,01시 1구간,158.1
4,01시 2구간,158.08
5,01시 3구간,158.07
6,01시 4구간,158.05
7,02시 1구간,158.04
8,02시 2구간,158.03
9,02시 3구간,158.01
10,02시 4구간,158.01
11,03시 1구간,158.01
12,03시 2구간,158.0
13,03시 3구간,157.99
14,03시 4구간,157.98
15,04시 1구간,157.97
16,04시 2구간,157.95
17,04시 3구간,157.93
18,04시 4구간,157.9
19,05시 1구간,158.0
20,05시 2구간,157.98
21,05시 3구간,157.96
22,05시 4구간,156.35
23,06시 1구간,160.13
24,06시 2구간,160.14
25,06시 3구간,160.15
26,06시 4구간,158.92
27,07시 1구간,158.93
28,07시 2구간,158.95
29,07시 3구간,158.96
30,07시 4구간,160.19
31,08시 1구간,155.97
32,08시 2구간,155.99
33,08시 3구간,156.05
34,08시 4구간,156.05
35,09시 1구간,146.07
36,09시 2구간,156.16
37,09시 3구간,156.16
38,09시 4구간,156.16
39,10시 1구간,158.04
40,10시 2구간,158.04
41,10시 3구간,158.04
42,10시 4구간,157.9
43,11시 1구간,159.93
44,11시 2구간,159.93
45,11시 3구간,159.93
46,11시 4구간,159.91
47,12시 1구간,160.07
48,12시 2구간,160.07
49,12시 3구간,160.07
50,12시 4구간,160.07
51,13시 1구간,159.92
52,13시 2구간,159.92
53,13시 3구간,159.92
54,13시 4구간,159.96
55,14시 1구간,161.91
56,14시 2구간,161.91
57,14시 3구간,161.91
58,14시 4구간,161.91
59,15시 1구간,161.86
60,15시 2구간,161.86
61,15시 3구간,161.86
62,15시 4구간,161.86
63,16시 1구간,160.0
64,16시 2구간,160.0
65,16시 3구간,160.0
66,16시 4구간,160.03
67,17시 1구간,160.03
68,17시 2구간,160.03
69,17시 3구간,160.03
70,17시 4구간,159.96
71,18시 1구간,159.96
72,18시 2구간,159.96
73,18시 3구간,159.96
74,18시 4구간,160.04
75,19시 1구간,160.04
76,19시 2구간,198.82
77,19시 3구간,198.82
78,19시 4구간,199.99
79,20시 1구간,201.88
80,20시 2구간,201.88
81,20시 3구간,201.68
82,20시 4구간,201.71
83,21시 1구간,160.94
84,21시 2구간,160.93
85,21시 3구간,203.24
86,21시 4구간,159.09
87,22시 1구간,158.47
88,22시 2구간,158.46
89,22시 3구간,158.46
90,22시 4구간,158.45
91,23시 1구간,158.32
92,23시 2구간,158.32
93,23시 3구간,158.47
94,23시 4구간,158.2
95,24시 1구간,158.06
96,24시 2구간,158.06
97,24시 3구간,157.79
98,24시 4구간,141.26
