,시간,08-17 (토)
0,최대,197.4
1,최소,125.0
2,가중평균,151.69
3,01시 1구간,159.4
4,01시 2구간,140.83
5,01시 3구간,140.83
6,01시 4구간,140.83
7,02시 1구간,137.15
8,02시 2구간,137.15
9,02시 3구간,137.15
10,02시 4구간,137.15
11,03시 1구간,137.16
12,03시 2구간,137.16
13,03시 3구간,137.16
14,03시 4구간,137.16
15,04시 1구간,130.46
16,04시 2구간,130.46
17,04시 3구간,130.46
18,04시 4구간,130.46
19,05시 1구간,125.0
20,05시 2구간,125.0
21,05시 3구간,125.0
22,05시 4구간,125.0
23,06시 1구간,129.13
24,06시 2구간,129.13
25,06시 3구간,129.13
26,06시 4구간,129.13
27,07시 1구간,130.46
28,07시 2구간,130.46
29,07시 3구간,130.46
30,07시 4구간,130.46
31,08시 1구간,142.59
32,08시 2구간,142.59
33,08시 3구간,142.59
34,08시 4구간,142.59
35,09시 1구간,141.95
36,09시 2구간,141.95
37,09시 3구간,141.95
38,09시 4구간,141.95
39,10시 1구간,143.88
40,10시 2구간,143.88
41,10시 3구간,143.88
42,10시 4구간,143.88
43,11시 1구간,156.73
44,11시 2구간,156.73
45,11시 3구간,156.73
46,11시 4구간,156.52
47,12시 1구간,157.15
48,12시 2구간,157.15
49,12시 3구간,157.15
50,12시 4구간,156.89
51,13시 1구간,156.53
52,13시 2구간,156.53
53,13시 3구간,156.53
54,13시 4구간,156.7
55,14시 1구간,197.4
56,14시 2구간,197.4
57,14시 3구간,197.4
58,14시 4구간,197.4
59,15시 1구간,159.26
60,15시 2구간,159.26
61,15시 3구간,157.56
62,15시 4구간,159.22
63,16시 1구간,158.95
64,16시 2구간,158.95
65,16시 3구간,158.95
66,16시 4구간,158.58
67,17시 1구간,148.46
68,17시 2구간,148.46
69,17시 3구간,148.46
70,17시 4구간,148.46
71,18시 1구간,156.59
72,18시 2구간,156.65
73,18시 3구간,156.71
74,18시 4구간,156.16
75,19시 1구간,156.52
76,19시 2구간,156.58
77,19시 3구간,156.68
78,19시 4구간,157.34
79,20시 1구간,158.12
80,20시 2구간,158.25
81,20시 3구간,158.39
82,20시 4구간,158.33
83,21시 1구간,158.93
84,21시 2구간,158.93
85,21시 3구간,158.93
86,21시 4구간,158.92
87,22시 1구간,158.92
88,22시 2구간,158.92
89,22시 3구간,158.92
90,22시 4구간,158.92
91,23시 1구간,159.04
92,23시 2구간,159.01
93,23시 3구간,159.01
94,23시 4구간,159.01
95,24시 1구간,159.01
96,24시 2구간,159.01
97,24시 3구간,159.01
98,24시 4구간,140.42
