,시간,08-18 (일)
0,최대,159.72
1,최소,107.55
2,가중평균,144.35
3,01시 1구간,140.18
4,01시 2구간,140.18
5,01시 3구간,140.18
6,01시 4구간,140.18
7,02시 1구간,143.0
8,02시 2구간,143.0
9,02시 3구간,143.0
10,02시 4구간,143.0
11,03시 1구간,135.88
12,03시 2구간,135.88
13,03시 3구간,135.88
14,03시 4구간,135.88
15,04시 1구간,107.57
16,04시 2구간,107.57
17,04시 3구간,107.57
18,04시 4구간,107.57
19,05시 1구간,107.55
20,05시 2구간,107.55
21,05시 3구간,107.55
22,05시 4구간,107.55
23,06시 1구간,107.55
24,06시 2구간,107.55
25,06시 3구간,107.55
26,06시 4구간,107.55
27,07시 1구간,107.57
28,07시 2구간,107.57
29,07시 3구간,107.57
30,07시 4구간,107.57
31,08시 1구간,143.37
32,08시 2구간,143.37
33,08시 3구간,143.37
34,08시 4구간,143.37
35,09시 1구간,141.53
36,09시 2구간,141.53
37,09시 3구간,141.53
38,09시 4구간,141.53
39,10시 1구간,144.86
40,10시 2구간,144.86
41,10시 3구간,144.86
42,10시 4구간,144.86
43,11시 1구간,146.23
44,11시 2구간,146.23
45,11시 3구간,146.23
46,11시 4구간,146.23
47,12시 1구간,146.35
48,12시 2구간,146.35
49,12시 3구간,146.35
50,12시 4구간,146.35
51,13시 1구간,146.71
52,13시 2구간,146.71
53,13시 3구간,146.71
54,13시 4구간,146.71
55,14시 1구간,148.94
56,14시 2구간,148.94
57,14시 3구간,148.94
58,14시 4구간,148.94
59,15시 1구간,146.72
60,15시 2구간,146.72
61,15시 3구간,146.72
62,15시 4구간,146.72
63,16시 1구간,157.5
64,16시 2구간,157.5
65,16시 3구간,157.5
66,16시 4구간,157.42
67,17시 1구간,157.42
68,17시 2구간,157.42
69,17시 3구간,157.61
70,17시 4구간,157.99
71,18시 1구간,158.26
72,18시 2구간,158.26
73,18시 3구간,158.26
74,18시 4구간,158.51
75,19시 1구간,158.78
76,19시 2구간,159.05
77,19시 3구간,159.31
78,19시 4구간,159.25
79,20시 1구간,159.25
80,20시 2구간,159.49
81,20시 3구간,159.72
82,20시 4구간,159.57
83,21시 1구간,156.69
84,21시 2구간,156.67
85,21시 3구간,156.66
86,21시 4구간,156.84
87,22시 1구간,157.27
88,22시 2구간,157.34
89,22시 3구간,157.52
90,22시 4구간,157.6
91,23시 1구간,158.21
92,23시 2구간,157.24
93,23시 3구간,157.24
94,23시 4구간,145.13
95,24시 1구간,140.72
96,24시 2구간,140.72
97,24시 3구간,140.72
98,24시 4구간,140.72
