,시간,10-21 (월)
0,최대,157.18
1,최소,-0.38
2,가중평균,135.48
3,01시 1구간,94.05
4,01시 2구간,94.05
5,01시 3구간,94.05
6,01시 4구간,94.05
7,02시 1구간,85.16
8,02시 2구간,85.16
9,02시 3구간,85.16
10,02시 4구간,85.16
11,03시 1구간,83.75
12,03시 2구간,83.75
13,03시 3구간,83.75
14,03시 4구간,83.75
15,04시 1구간,85.16
16,04시 2구간,85.16
17,04시 3구간,85.16
18,04시 4구간,85.16
19,05시 1구간,85.16
20,05시 2구간,85.16
21,05시 3구간,85.16
22,05시 4구간,85.16
23,06시 1구간,89.61
24,06시 2구간,89.61
25,06시 3구간,89.61
26,06시 4구간,89.61
27,07시 1구간,105.58
28,07시 2구간,105.58
29,07시 3구간,-0.38
30,07시 4구간,105.58
31,08시 1구간,105.7
32,08시 2구간,105.7
33,08시 3구간,105.7
34,08시 4구간,105.7
35,09시 1구간,139.32
36,09시 2구간,139.32
37,09시 3구간,139.32
38,09시 4구간,139.32
39,10시 1구간,139.33
40,10시 2구간,139.33
41,10시 3구간,139.33
42,10시 4구간,155.05
43,11시 1구간,155.05
44,11시 2구간,155.05
45,11시 3구간,155.05
46,11시 4구간,155.1
47,12시 1구간,155.1
48,12시 2구간,155.1
49,12시 3구간,155.1
50,12시 4구간,155.2
51,13시 1구간,154.96
52,13시 2구간,154.96
53,13시 3구간,154.96
54,13시 4구간,155.11
55,14시 1구간,155.11
56,14시 2구간,155.11
57,14시 3구간,155.11
58,14시 4구간,154.88
59,15시 1구간,154.88
60,15시 2구간,154.88
61,15시 3구간,154.88
62,15시 4구간,155.16
63,16시 1구간,155.16
64,16시 2구간,155.16
65,16시 3구간,155.16
66,16시 4구간,155.02
67,17시 1구간,155.26
68,17시 2구간,155.36
69,17시 3구간,155.46
70,17시 4구간,155.27
71,18시 1구간,155.37
72,18시 2구간,155.49
73,18시 3구간,155.6
74,18시 4구간,155.55
75,19시 1구간,155.63
76,19시 2구간,155.74
77,19시 3구간,156.32
78,19시 4구간,155.94
79,20시 1구간,156.03
80,20시 2구간,156.17
81,20시 3구간,156.31
82,20시 4구간,156.43
83,21시 1구간,156.49
84,21시 2구간,156.61
85,21시 3구간,156.33
86,21시 4구간,156.35
87,22시 1구간,157.18
88,22시 2구간,157.07
89,22시 3구간,156.4
90,22시 4구간,155.89
91,23시 1구간,156.09
92,23시 2구간,155.33
93,23시 3구간,155.33
94,23시 4구간,155.23
95,24시 1구간,105.16
96,24시 2구간,154.49
97,24시 3구간,156.16
98,24시 4구간,155.32
