,시간,10-25 (금)
0,최대,221.04
1,최소,0.0
2,가중평균,128.58
3,01시 1구간,155.52
4,01시 2구간,154.27
5,01시 3구간,154.03
6,01시 4구간,92.43
7,02시 1구간,92.23
8,02시 2구간,92.23
9,02시 3구간,92.23
10,02시 4구간,92.23
11,03시 1구간,216.99
12,03시 2구간,216.99
13,03시 3구간,204.08
14,03시 4구간,216.99
15,04시 1구간,212.25
16,04시 2구간,0.0
17,04시 3구간,92.1
18,04시 4구간,92.1
19,05시 1구간,92.23
20,05시 2구간,92.23
21,05시 3구간,92.23
22,05시 4구간,92.23
23,06시 1구간,92.43
24,06시 2구간,92.43
25,06시 3구간,92.43
26,06시 4구간,92.43
27,07시 1구간,101.06
28,07시 2구간,101.06
29,07시 3구간,101.06
30,07시 4구간,101.06
31,08시 1구간,101.28
32,08시 2구간,101.28
33,08시 3구간,101.28
34,08시 4구간,101.28
35,09시 1구간,221.04
36,09시 2구간,138.32
37,09시 3구간,209.55
38,09시 4구간,138.32
39,10시 1구간,139.24
40,10시 2구간,139.24
41,10시 3구간,139.24
42,10시 4구간,139.24
43,11시 1구간,160.56
44,11시 2구간,160.56
45,11시 3구간,160.56
46,11시 4구간,160.56
47,12시 1구간,133.16
48,12시 2구간,133.16
49,12시 3구간,133.16
50,12시 4구간,133.16
51,13시 1구간,0.0
52,13시 2구간,0.0
53,13시 3구간,115.44
54,13시 4구간,115.44
55,14시 1구간,139.59
56,14시 2구간,139.59
57,14시 3구간,139.59
58,14시 4구간,139.59
59,15시 1구간,155.39
60,15시 2구간,155.39
61,15시 3구간,155.39
62,15시 4구간,155.39
63,16시 1구간,155.39
64,16시 2구간,155.39
65,16시 3구간,155.39
66,16시 4구간,155.39
67,17시 1구간,150.74
68,17시 2구간,123.36
69,17시 3구간,122.63
70,17시 4구간,152.09
71,18시 1구간,154.36
72,18시 2구간,154.62
73,18시 3구간,154.68
74,18시 4구간,155.46
75,19시 1구간,155.07
76,19시 2구간,155.96
77,19시 3구간,156.11
78,19시 4구간,155.41
79,20시 1구간,155.44
80,20시 2구간,155.42
81,20시 3구간,154.56
82,20시 4구간,154.62
83,21시 1구간,105.94
84,21시 2구간,105.94
85,21시 3구간,105.94
86,21시 4구간,105.94
87,22시 1구간,101.22
88,22시 2구간,101.22
89,22시 3구간,101.22
90,22시 4구간,101.22
91,23시 1구간,101.02
92,23시 2구간,101.02
93,23시 3구간,101.02
94,23시 4구간,101.02
95,24시 1구간,101.05
96,24시 2구간,101.05
97,24시 3구간,101.05
98,24시 4구간,101.05
