,시간,05-06 (월)
0,최대,154.28
1,최소,-79.06
2,가중평균,118.37
3,01시 1구간,108.05
4,01시 2구간,108.05
5,01시 3구간,108.05
6,01시 4구간,108.05
7,02시 1구간,91.51
8,02시 2구간,91.51
9,02시 3구간,91.51
10,02시 4구간,91.51
11,03시 1구간,91.51
12,03시 2구간,91.51
13,03시 3구간,91.51
14,03시 4구간,91.51
15,04시 1구간,91.51
16,04시 2구간,91.51
17,04시 3구간,91.51
18,04시 4구간,91.51
19,05시 1구간,91.51
20,05시 2구간,91.51
21,05시 3구간,91.51
22,05시 4구간,91.51
23,06시 1구간,91.51
24,06시 2구간,91.51
25,06시 3구간,91.51
26,06시 4구간,91.51
27,07시 1구간,92.25
28,07시 2구간,92.25
29,07시 3구간,92.25
30,07시 4구간,92.25
31,08시 1구간,113.52
32,08시 2구간,113.52
33,08시 3구간,113.52
34,08시 4구간,113.52
35,09시 1구간,138.17
36,09시 2구간,138.17
37,09시 3구간,138.17
38,09시 4구간,138.17
39,10시 1구간,121.15
40,10시 2구간,120.49
41,10시 3구간,120.53
42,10시 4구간,121.17
43,11시 1구간,119.8
44,11시 2구간,-2.0
45,11시 3구간,-39.53
46,11시 4구간,-2.0
47,12시 1구간,126.39
48,12시 2구간,-2.0
49,12시 3구간,120.5
50,12시 4구간,-51.27
51,13시 1구간,-51.27
52,13시 2구간,-79.06
53,13시 3구간,120.64
54,13시 4구간,120.85
55,14시 1구간,153.96
56,14시 2구간,153.96
57,14시 3구간,153.96
58,14시 4구간,153.96
59,15시 1구간,153.96
60,15시 2구간,153.96
61,15시 3구간,153.96
62,15시 4구간,153.96
63,16시 1구간,122.48
64,16시 2구간,-0.11
65,16시 3구간,154.02
66,16시 4구간,154.02
67,17시 1구간,149.38
68,17시 2구간,151.42
69,17시 3구간,153.32
70,17시 4구간,153.32
71,18시 1구간,153.32
72,18시 2구간,153.32
73,18시 3구간,153.32
74,18시 4구간,153.32
75,19시 1구간,153.64
76,19시 2구간,153.64
77,19시 3구간,153.64
78,19시 4구간,153.64
79,20시 1구간,153.8
80,20시 2구간,153.8
81,20시 3구간,153.8
82,20시 4구간,153.8
83,21시 1구간,154.12
84,21시 2구간,154.12
85,21시 3구간,154.12
86,21시 4구간,154.12
87,22시 1구간,154.12
88,22시 2구간,154.12
89,22시 3구간,154.12
90,22시 4구간,154.12
91,23시 1구간,154.12
92,23시 2구간,154.12
93,23시 3구간,154.12
94,23시 4구간,154.12
95,24시 1구간,154.28
96,24시 2구간,154.28
97,24시 3구간,154.28
98,24시 4구간,154.28
