,시간,05-15 (수)
0,최대,115.76
1,최소,-79.06
2,가중평균,47.92
3,01시 1구간,110.8
4,01시 2구간,110.8
5,01시 3구간,110.8
6,01시 4구간,110.8
7,02시 1구간,105.11
8,02시 2구간,105.11
9,02시 3구간,105.11
10,02시 4구간,105.11
11,03시 1구간,93.04
12,03시 2구간,93.04
13,03시 3구간,93.04
14,03시 4구간,93.04
15,04시 1구간,91.41
16,04시 2구간,91.41
17,04시 3구간,91.41
18,04시 4구간,91.41
19,05시 1구간,105.11
20,05시 2구간,105.11
21,05시 3구간,105.11
22,05시 4구간,105.11
23,06시 1구간,105.11
24,06시 2구간,105.11
25,06시 3구간,105.11
26,06시 4구간,105.11
27,07시 1구간,93.27
28,07시 2구간,93.27
29,07시 3구간,93.27
30,07시 4구간,93.27
31,08시 1구간,85.46
32,08시 2구간,85.46
33,08시 3구간,85.46
34,08시 4구간,85.46
35,09시 1구간,-71.15
36,09시 2구간,-77.94
37,09시 3구간,-77.94
38,09시 4구간,-77.94
39,10시 1구간,106.98
40,10시 2구간,106.98
41,10시 3구간,106.98
42,10시 4구간,-51.27
43,11시 1구간,-79.06
44,11시 2구간,-79.06
45,11시 3구간,-79.06
46,11시 4구간,-77.94
47,12시 1구간,-79.06
48,12시 2구간,-79.06
49,12시 3구간,-79.06
50,12시 4구간,-79.06
51,13시 1구간,-79.06
52,13시 2구간,-79.06
53,13시 3구간,-79.06
54,13시 4구간,-77.94
55,14시 1구간,-79.06
56,14시 2구간,-77.94
57,14시 3구간,-2.0
58,14시 4구간,0.0
59,15시 1구간,0.0
60,15시 2구간,115.76
61,15시 3구간,115.76
62,15시 4구간,115.76
63,16시 1구간,115.76
64,16시 2구간,-0.18
65,16시 3구간,-2.0
66,16시 4구간,0.0
67,17시 1구간,-79.06
68,17시 2구간,-79.06
69,17시 3구간,-79.06
70,17시 4구간,-79.06
71,18시 1구간,-79.06
72,18시 2구간,-17.57
73,18시 3구간,-2.0
74,18시 4구간,0.0
75,19시 1구간,114.27
76,19시 2구간,114.27
77,19시 3구간,0.0
78,19시 4구간,-2.0
79,20시 1구간,-2.0
80,20시 2구간,-2.0
81,20시 3구간,-0.13
82,20시 4구간,0.0
83,21시 1구간,114.27
84,21시 2구간,114.27
85,21시 3구간,114.27
86,21시 4구간,114.27
87,22시 1구간,114.27
88,22시 2구간,114.27
89,22시 3구간,114.27
90,22시 4구간,114.27
91,23시 1구간,114.27
92,23시 2구간,114.27
93,23시 3구간,114.27
94,23시 4구간,114.27
95,24시 1구간,107.3
96,24시 2구간,107.3
97,24시 3구간,107.3
98,24시 4구간,107.3
