,시간,06-28 (금)
0,최대,151.66
1,최소,91.44
2,가중평균,133.94
3,01시 1구간,119.93
4,01시 2구간,119.93
5,01시 3구간,119.93
6,01시 4구간,119.93
7,02시 1구간,95.5
8,02시 2구간,95.5
9,02시 3구간,95.5
10,02시 4구간,95.5
11,03시 1구간,95.5
12,03시 2구간,95.5
13,03시 3구간,95.5
14,03시 4구간,95.5
15,04시 1구간,92.59
16,04시 2구간,92.59
17,04시 3구간,92.59
18,04시 4구간,92.59
19,05시 1구간,91.44
20,05시 2구간,91.44
21,05시 3구간,91.44
22,05시 4구간,91.44
23,06시 1구간,91.64
24,06시 2구간,91.64
25,06시 3구간,91.64
26,06시 4구간,91.64
27,07시 1구간,99.38
28,07시 2구간,99.38
29,07시 3구간,99.38
30,07시 4구간,99.38
31,08시 1구간,117.1
32,08시 2구간,117.1
33,08시 3구간,117.1
34,08시 4구간,117.1
35,09시 1구간,133.68
36,09시 2구간,133.68
37,09시 3구간,133.68
38,09시 4구간,133.68
39,10시 1구간,136.28
40,10시 2구간,148.99
41,10시 3구간,148.99
42,10시 4구간,148.99
43,11시 1구간,148.99
44,11시 2구간,148.99
45,11시 3구간,148.99
46,11시 4구간,148.99
47,12시 1구간,149.12
48,12시 2구간,149.12
49,12시 3구간,149.12
50,12시 4구간,149.12
51,13시 1구간,148.99
52,13시 2구간,148.99
53,13시 3구간,148.99
54,13시 4구간,148.99
55,14시 1구간,148.63
56,14시 2구간,148.63
57,14시 3구간,148.63
58,14시 4구간,148.63
59,15시 1구간,151.66
60,15시 2구간,151.66
61,15시 3구간,151.66
62,15시 4구간,151.66
63,16시 1구간,151.66
64,16시 2구간,151.66
65,16시 3구간,151.66
66,16시 4구간,151.66
67,17시 1구간,148.63
68,17시 2구간,148.63
69,17시 3구간,148.63
70,17시 4구간,148.63
71,18시 1구간,148.63
72,18시 2구간,148.63
73,18시 3구간,148.63
74,18시 4구간,148.63
75,19시 1구간,149.12
76,19시 2구간,149.12
77,19시 3구간,149.12
78,19시 4구간,149.12
79,20시 1구간,149.12
80,20시 2구간,149.53
81,20시 3구간,149.53
82,20시 4구간,149.53
83,21시 1구간,149.53
84,21시 2구간,149.53
85,21시 3구간,149.53
86,21시 4구간,149.53
87,22시 1구간,149.46
88,22시 2구간,149.46
89,22시 3구간,149.46
90,22시 4구간,149.46
91,23시 1구간,131.43
92,23시 2구간,131.43
93,23시 3구간,131.43
94,23시 4구간,131.43
95,24시 1구간,129.85
96,24시 2구간,129.85
97,24시 3구간,129.85
98,24시 4구간,129.85
