,시간,08-24 (토)
0,최대,160.62
1,최소,107.41
2,가중평균,145.24
3,01시 1구간,157.69
4,01시 2구간,157.69
5,01시 3구간,157.69
6,01시 4구간,157.69
7,02시 1구간,107.41
8,02시 2구간,107.41
9,02시 3구간,107.41
10,02시 4구간,107.41
11,03시 1구간,107.42
12,03시 2구간,107.42
13,03시 3구간,107.42
14,03시 4구간,107.42
15,04시 1구간,107.42
16,04시 2구간,107.42
17,04시 3구간,107.42
18,04시 4구간,107.42
19,05시 1구간,107.42
20,05시 2구간,107.42
21,05시 3구간,107.42
22,05시 4구간,107.42
23,06시 1구간,107.42
24,06시 2구간,107.42
25,06시 3구간,107.42
26,06시 4구간,107.42
27,07시 1구간,107.41
28,07시 2구간,107.41
29,07시 3구간,107.41
30,07시 4구간,107.41
31,08시 1구간,143.22
32,08시 2구간,143.22
33,08시 3구간,143.22
34,08시 4구간,143.22
35,09시 1구간,141.69
36,09시 2구간,141.69
37,09시 3구간,141.69
38,09시 4구간,141.69
39,10시 1구간,142.4
40,10시 2구간,142.4
41,10시 3구간,142.4
42,10시 4구간,142.4
43,11시 1구간,144.66
44,11시 2구간,144.66
45,11시 3구간,144.66
46,11시 4구간,144.66
47,12시 1구간,158.44
48,12시 2구간,158.44
49,12시 3구간,158.44
50,12시 4구간,158.44
51,13시 1구간,158.44
52,13시 2구간,158.44
53,13시 3구간,158.44
54,13시 4구간,158.44
55,14시 1구간,158.44
56,14시 2구간,158.44
57,14시 3구간,158.44
58,14시 4구간,158.44
59,15시 1구간,159.17
60,15시 2구간,159.17
61,15시 3구간,159.17
62,15시 4구간,159.17
63,16시 1구간,158.44
64,16시 2구간,158.44
65,16시 3구간,158.44
66,16시 4구간,158.44
67,17시 1구간,148.07
68,17시 2구간,148.07
69,17시 3구간,148.07
70,17시 4구간,148.07
71,18시 1구간,148.07
72,18시 2구간,148.07
73,18시 3구간,148.07
74,18시 4구간,148.07
75,19시 1구간,157.4
76,19시 2구간,157.4
77,19시 3구간,157.4
78,19시 4구간,157.4
79,20시 1구간,157.73
80,20시 2구간,157.73
81,20시 3구간,157.73
82,20시 4구간,157.73
83,21시 1구간,160.16
84,21시 2구간,160.16
85,21시 3구간,160.16
86,21시 4구간,160.16
87,22시 1구간,160.62
88,22시 2구간,160.62
89,22시 3구간,160.62
90,22시 4구간,160.62
91,23시 1구간,160.62
92,23시 2구간,160.62
93,23시 3구간,160.62
94,23시 4구간,160.62
95,24시 1구간,160.41
96,24시 2구간,160.41
97,24시 3구간,160.41
98,24시 4구간,160.41
