,시간,11-07 (목)
0,최대,155.07
1,최소,89.39
2,가중평균,115.64
3,01시 1구간,103.65
4,01시 2구간,103.65
5,01시 3구간,103.65
6,01시 4구간,103.65
7,02시 1구간,89.39
8,02시 2구간,89.39
9,02시 3구간,89.39
10,02시 4구간,89.39
11,03시 1구간,89.39
12,03시 2구간,89.39
13,03시 3구간,89.39
14,03시 4구간,89.39
15,04시 1구간,89.48
16,04시 2구간,89.48
17,04시 3구간,89.48
18,04시 4구간,89.48
19,05시 1구간,89.48
20,05시 2구간,89.48
21,05시 3구간,89.48
22,05시 4구간,89.48
23,06시 1구간,102.16
24,06시 2구간,102.16
25,06시 3구간,102.16
26,06시 4구간,102.16
27,07시 1구간,114.48
28,07시 2구간,114.48
29,07시 3구간,114.48
30,07시 4구간,114.48
31,08시 1구간,107.74
32,08시 2구간,107.74
33,08시 3구간,107.74
34,08시 4구간,107.74
35,09시 1구간,117.84
36,09시 2구간,117.84
37,09시 3구간,117.84
38,09시 4구간,117.84
39,10시 1구간,136.21
40,10시 2구간,136.21
41,10시 3구간,136.21
42,10시 4구간,136.21
43,11시 1구간,155.07
44,11시 2구간,155.07
45,11시 3구간,155.07
46,11시 4구간,155.07
47,12시 1구간,136.87
48,12시 2구간,136.87
49,12시 3구간,136.87
50,12시 4구간,136.87
51,13시 1구간,116.13
52,13시 2구간,116.13
53,13시 3구간,116.13
54,13시 4구간,116.13
55,14시 1구간,116.84
56,14시 2구간,116.84
57,14시 3구간,116.84
58,14시 4구간,116.84
59,15시 1구간,116.84
60,15시 2구간,116.84
61,15시 3구간,116.84
62,15시 4구간,116.84
63,16시 1구간,116.84
64,16시 2구간,116.84
65,16시 3구간,116.84
66,16시 4구간,116.84
67,17시 1구간,151.02
68,17시 2구간,151.02
69,17시 3구간,151.02
70,17시 4구간,151.02
71,18시 1구간,137.03
72,18시 2구간,137.03
73,18시 3구간,137.03
74,18시 4구간,137.03
75,19시 1구간,117.44
76,19시 2구간,117.44
77,19시 3구간,117.44
78,19시 4구간,117.44
79,20시 1구간,117.51
80,20시 2구간,117.51
81,20시 3구간,117.51
82,20시 4구간,117.51
83,21시 1구간,114.94
84,21시 2구간,114.94
85,21시 3구간,114.94
86,21시 4구간,114.94
87,22시 1구간,107.66
88,22시 2구간,107.66
89,22시 3구간,107.66
90,22시 4구간,107.66
91,23시 1구간,111.71
92,23시 2구간,111.71
93,23시 3구간,111.71
94,23시 4구간,111.71
95,24시 1구간,104.64
96,24시 2구간,104.64
97,24시 3구간,104.64
98,24시 4구간,104.64
