,시간,11-26 (화)
0,최대,158.56
1,최소,0.0
2,가중평균,112.82
3,01시 1구간,114.88
4,01시 2구간,114.88
5,01시 3구간,114.88
6,01시 4구간,114.88
7,02시 1구간,91.94
8,02시 2구간,91.94
9,02시 3구간,91.94
10,02시 4구간,91.94
11,03시 1구간,87.57
12,03시 2구간,87.57
13,03시 3구간,87.57
14,03시 4구간,87.57
15,04시 1구간,87.47
16,04시 2구간,87.47
17,04시 3구간,87.47
18,04시 4구간,87.47
19,05시 1구간,91.94
20,05시 2구간,91.94
21,05시 3구간,91.94
22,05시 4구간,91.94
23,06시 1구간,102.32
24,06시 2구간,102.32
25,06시 3구간,102.32
26,06시 4구간,102.32
27,07시 1구간,104.01
28,07시 2구간,104.01
29,07시 3구간,104.01
30,07시 4구간,104.01
31,08시 1구간,106.76
32,08시 2구간,106.76
33,08시 3구간,106.76
34,08시 4구간,106.76
35,09시 1구간,140.74
36,09시 2구간,140.74
37,09시 3구간,140.74
38,09시 4구간,140.74
39,10시 1구간,154.83
40,10시 2구간,154.83
41,10시 3구간,154.83
42,10시 4구간,154.83
43,11시 1구간,158.56
44,11시 2구간,158.56
45,11시 3구간,140.33
46,11시 4구간,0.0
47,12시 1구간,0.0
48,12시 2구간,0.0
49,12시 3구간,137.88
50,12시 4구간,0.0
51,13시 1구간,0.0
52,13시 2구간,0.0
53,13시 3구간,0.0
54,13시 4구간,0.0
55,14시 1구간,0.0
56,14시 2구간,145.31
57,14시 3구간,147.88
58,14시 4구간,147.88
59,15시 1구간,135.27
60,15시 2구간,135.27
61,15시 3구간,135.27
62,15시 4구간,135.27
63,16시 1구간,137.94
64,16시 2구간,137.94
65,16시 3구간,137.94
66,16시 4구간,137.94
67,17시 1구간,137.97
68,17시 2구간,137.97
69,17시 3구간,137.97
70,17시 4구간,137.97
71,18시 1구간,151.83
72,18시 2구간,151.83
73,18시 3구간,151.83
74,18시 4구간,151.83
75,19시 1구간,151.83
76,19시 2구간,151.83
77,19시 3구간,151.83
78,19시 4구간,151.83
79,20시 1구간,151.83
80,20시 2구간,151.83
81,20시 3구간,151.83
82,20시 4구간,151.83
83,21시 1구간,117.78
84,21시 2구간,117.78
85,21시 3구간,117.78
86,21시 4구간,117.78
87,22시 1구간,114.22
88,22시 2구간,114.22
89,22시 3구간,114.22
90,22시 4구간,114.22
91,23시 1구간,104.85
92,23시 2구간,104.85
93,23시 3구간,104.85
94,23시 4구간,104.85
95,24시 1구간,113.03
96,24시 2구간,113.03
97,24시 3구간,113.03
98,24시 4구간,113.03
